Date,Mean Soil Moisture,Minimum Soil Moisture,Maximum Soil Moisture,Variance of Soil Moistures
24-3-19,12.233256906509487,0.0,25.400115200000005,78.79138167633813
21-3-19,12.180052463179535,0.0,25.400115200000005,80.65710836580996
14-2-17,13.301514798995344,0.0,25.400115200000005,85.68918419422815
4-4-18,12.81182032030388,0.0,25.400115200000005,82.76017764188082
26-2-20,12.635953658385779,0.0,25.400115200000005,82.78537915754485
7-12-15,12.498755063475816,0.0,25.400115200000005,76.54403190775719
15-1-20,12.658727643541683,0.0,25.400115200000005,76.52117236583062
16-7-20,9.789464873238709,0.0,25.400115200000005,65.52153760062171
19-12-16,12.72753910286581,0.0,25.400115200000005,80.74591555915194
23-12-17,12.309502925958443,0.0,25.400115200000005,81.32232877430135
13-1-18,12.490300688968503,0.0,25.400115200000005,83.86308248838564
24-1-20,12.617134358251583,0.0,25.400115200000005,77.38009893343792
20-6-17,10.547151171899586,0.0,25.400115200000005,71.92052573055133
26-10-16,11.689705222635988,0.0,25.400115200000005,76.8909294217286
2-9-19,9.615709793671625,0.0,25.400115200000005,68.53788748098462
10-7-16,10.563334118029838,0.0,25.400115200000005,67.8145764448745
1-4-18,12.784295900889067,0.0,25.400115200000005,84.96129457634353
31-7-16,10.664160204058279,0.0,25.400115200000005,72.14296748614535
16-12-19,12.221050918541906,0.0,25.400115200000005,76.2973683066588
24-7-18,9.786703335059872,0.0,25.400115200000005,67.37849000842377
15-8-19,9.470953580164641,0.0,25.400115200000005,67.44828002414438
19-4-18,12.313079394483795,0.0,25.400115200000005,74.98655912224498
29-5-19,10.355073990875962,0.0,25.400115200000005,66.79104402436177
9-8-16,10.41788213589109,0.0,25.400115200000005,70.18095546187158
5-2-16,12.846820710072002,0.0,25.400115200000005,86.29274860930013
11-2-16,12.448420983082856,0.0,25.400115200000005,85.62566875287736
15-3-20,12.183098903069853,0.0,25.400115200000005,79.51485579496175
1-7-20,9.969956613540758,0.0,25.400115200000005,65.79582900064315
31-5-18,10.536784131412215,0.0,25.400115200000005,67.66976746187473
19-11-19,11.607023022550457,0.0,25.400115200000005,70.6464879581346
3-2-18,12.550375829611317,0.0,25.400115200000005,85.60189853083834
25-2-19,12.469546053552719,0.0,25.400115200000005,82.82376302679191
25-9-18,10.364058609670382,0.0,25.400115200000005,68.19500159212714
8-5-16,11.73186102482745,0.0,25.400115200000005,69.0357620235953
26-9-15,9.772673329709757,0.0,25.400115200000005,65.44695341152837
3-8-15,9.722988715943798,0.0,25.400115200000005,67.74469572004331
8-5-19,10.954239600604451,0.0,25.400115200000005,66.26503302084662
23-8-18,9.624706578606714,0.0,25.400115200000005,67.38025964965715
22-5-18,10.889752503711538,0.0,25.400115200000005,67.38557441307347
26-11-17,11.918953907136757,0.0,25.400115200000005,76.2454183893312
10-11-15,11.797576328923439,0.0,25.400115200000005,71.45936919122558
30-6-18,10.194574413810395,0.0,25.400115200000005,66.88189628096106
1-12-15,12.234425284895273,0.0,25.400115200000005,75.98655862527498
20-9-19,9.695853603067084,0.0,25.400115200000005,68.02192618101085
18-5-17,11.700194832663325,0.0,25.400115200000005,70.09685830842491
13-12-19,12.238250052635152,0.0,25.400115200000005,75.54975368808718
8-7-17,10.435642367058694,0.0,25.400115200000005,71.29733968898316
17-10-16,11.234253816982797,0.0,25.400115200000005,74.08935058467108
21-9-17,10.384153849138414,0.0,25.400115200000005,72.31870734136668
16-7-15,9.560814329264428,0.0,25.400115200000005,65.04002350876227
29-1-19,12.475760501029507,0.0,25.400115200000005,82.95726433884923
22-1-18,12.319300861572746,0.0,25.400115200000005,84.88645589939127
29-5-16,11.132693351169124,0.0,25.400115200000005,69.19232357872443
16-3-17,13.011182786772105,0.0,25.400115200000005,85.36512987484113
29-12-17,12.419856288053483,0.0,25.400115200000005,82.66545532785506
15-7-18,9.844688902600362,0.0,25.400115200000005,65.92859978186031
22-6-16,10.653245059693988,0.0,25.400115200000005,64.90208244046352
25-6-19,9.53879622953176,0.0,25.400115200000005,63.07430807227087
19-6-20,9.874852577112236,0.0,25.400115200000005,64.1969268755768
1-7-19,9.218041836471354,0.0,25.400115200000005,63.636144477073934
4-7-16,10.63814255340083,0.0,25.400115200000005,69.20658030590037
26-4-20,11.066181523893714,0.0,25.400115200000005,67.53765281975049
10-11-19,11.5320024831696,0.0,25.400115200000005,73.92329502566665
23-2-20,12.562489875711,0.0,25.400115200000005,80.41489159606594
13-10-18,10.685784817057604,0.0,25.400115200000005,69.3283258933946
14-3-18,12.805175037863188,0.0,25.400115200000005,85.41645383355848
16-10-18,10.816604751661096,0.0,25.400115200000005,68.05796728609417
5-4-19,12.00478775801185,0.0,25.400115200000005,77.6219566842989
9-5-17,11.826849011588038,0.0,25.400115200000005,73.26933469100602
14-9-16,10.685714771688291,0.0,25.400115200000005,73.81090725352361
11-5-19,10.787353975323319,0.0,25.400115200000005,65.38027395947626
6-3-20,12.254421534718622,0.0,25.400115200000005,77.90864691423012
14-2-20,12.460154146432874,0.0,25.400115200000005,81.05367468159234
22-3-17,13.200595413006905,0.0,25.400115200000005,83.72591725070019
28-12-16,12.908708819808743,0.0,25.400115200000005,82.33504809748224
19-2-19,12.467898127941986,0.0,25.400115200000005,82.91896870964561
2-9-16,10.529573533046513,0.0,25.400115200000005,69.47942562270198
30-8-19,9.582895500209226,0.0,25.400115200000005,69.04585765357098
11-9-15,9.885905222779678,0.0,25.400115200000005,68.25190589746548
30-12-18,12.391469766654673,0.0,25.400115200000005,80.24727732614183
